STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1625,,
STD,7/23/2020,Ed Lapasota,unit in house ,Speedcast/GSI Gov ,1626,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1627,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1628,,
STD,7/23/2020,Ed Lapasota,material in house stored in GNSC warehouse,Speedcast/GSI Gov ,1629,,
STD,7/23/2020,Ed Lapasota,material in house stoted in GNSC warehouse,Speedcast/GSI Gov ,1630,,
STD,7/23/2020,Ed Lapasota,to be recycled at a later date,Speedcast/GSI Gov ,1631,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1632,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1633,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1634,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1635,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1636,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1637,,
STD,7/23/2020,Ed Lapasota,Unit in house - USED,Speedcast/GSI Gov ,1638,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW,Speedcast/GSI Gov ,1639,,
STD,7/23/2020,Ed Lapasota,,Speedcast/GSI Gov ,1640,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW,Speedcast/GSI Gov ,1641,,
MR,7/7/2020,Ed Lapasota,Shipped to ZBV 07.07.20,Speedcast/GSI Gov ,1642,,
REPAIR,7/23/2020,Ed Lapasota,"FAILED **Doesn't Switch** OLD (MAY TRASH, CONFIRM WITH ED",Speedcast/GSI Gov ,1643,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW,Speedcast/GSI Gov ,1644,,
STD,7/23/2020,Ed Lapasota,Unit in house - OLD (USED),Speedcast/GSI Gov ,1645,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW,Speedcast/GSI Gov ,1646,,
STD,7/23/2020,Ed Lapasota,Unit in house - NEW,Speedcast/GSI Gov ,1647,,
