VERIFIED,9/2/2020,Ed Lapasota,Unit in house - NEW - SCREW ON COVER,2431,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2432,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2433,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - NEW - SCREW ON COVER,2434,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - NEW - SCREW ON COVER,2435,Speedcast GSI Gov,,
VERIFIED,7/9/2020,Ed Lapasota,Returned from QJA - John Kayanek (part of spare feed Assy),2436,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,TEST RACK 09.02.20 |,2437,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - Used,2438,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2439,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - NEW,2440,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,TEST RACK 09.02.20 |,2441,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2442,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house - NEW,2443,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2444,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2445,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2446,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2447,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2448,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2449,Speedcast GSI Gov,,
OBSOLETE,9/2/2020,Ed Lapasota,OBSOLETE USED WITH OLD PARADISE CONTROLLERS,2450,Speedcast GSI Gov,,
OBSOLETE,9/2/2020,Ed Lapasota,OBSOLETE USED WITH OLD PARADISE CONTROLLERS,2451,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house STORED AT GNSC,2452,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2453,Speedcast GSI Gov,,
VERIFIED,6/5/2020,Ed Lapasota,Unit in house Verified 06.05.20,2454,Speedcast GSI Gov,,
VERIFIED,6/5/2020,Ed Lapasota,Unit in house Verified 06.05.20,2455,Speedcast GSI Gov,,
VERIFIED,6/5/2020,Ed Lapasota,Unit in house Verified 06.05.20,2456,Speedcast GSI Gov,,
VERIFIED,6/5/2020,Ed Lapasota,Unit in house Verified 06.05.20,2457,Speedcast GSI Gov,,
VERIFIED,6/5/2020,Ed Lapasota,Unit in house Verified 06.05.20,2458,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Fully populated FXS/XFO Shelf with (1) ringer module and spare 6131A Modules,2459,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2460,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2461,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2462,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2463,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2464,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2465,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2466,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2467,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2468,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2469,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2470,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house,2471,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2472,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2473,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2474,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,in  House,2475,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,in  House,2476,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,in  House,2477,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,in  House,2478,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,"2 Flyaway is GSI NY, 1 Flyaway is TSS Melbourne FL",2479,TSS,,
SHIPPED,9/2/2020,Ed Lapasota,"(1) deployed to BHF (,1) deployed to MYAF",2480,MYAF,,
VERIFIED,9/2/2020,Ed Lapasota,Equipment Located at GSM Maryland,2481,GSM,,
VERIFIED,9/2/2020,Ed Lapasota,"Equipment Located at TSS Melbourne, FL",2482,TSS,,
VERIFIED,9/2/2020,Ed Lapasota,,2483,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2484,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2485,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2486,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2487,Speedcast GSI Gov,,
SHIPPED,2/14/2020,Ed Lapasota,Sent 1 to ZSU 02.14.20,2488,ZSU,,
SHIPPED,2/14/2020,Ed Lapasota,Sent to ZSU 02.14.20,2489,ZSU,,
VERIFIED,11/14/2019,Ed Lapasota,new black ones - Sent to vendor 11/14/19 - RMA P-210,2490,Speedcast GSI Gov,P-210,
VERIFIED,9/2/2020,Ed Lapasota,Old whte ones,2491,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,In-House 09.02.20 |,2492,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,In-House 09.02.20 |,2493,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,In-House 09.02.20 |,2494,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,In-House 09.02.20 |,2494,Speedcast GSI Gov,,
SHIPPED,2/25/2020,Ed Lapasota,To be used for in-house testing only-DO NOT DEPLOY TO FIELD  - Returned to vendor ,2495,Speedcast GSI Gov,,
RETURNED,5/15/2020,Ed Lapasota,In House 05.15.19,2495,Speedcast GSI Gov,,
SHIPPED,2/25/2020,Ed Lapasota,To be used for in-house testing only-DO NOT DEPLOY TO FIELD  - Returned to vendor 02.25.20 | In House 05.15.20,2496,Speedcast GSI Gov,,
RETURNED,5/15/2020,Ed Lapasota,To be used for in-house testing only-DO NOT DEPLOY TO FIELD  - Returned to vendor 02.25.20 | In House 05.15.20,2496,Speedcast GSI Gov,,
SHIPPED,2/25/2020,Ed Lapasota,To be used for in-house testing only-DO NOT DEPLOY TO FIELD  -In House - Returned from Vendor 05.15.20 ,2497,Speedcast GSI Gov,,
RETURNED,5/15/2020,Ed Lapasota,To be used for in-house testing only-DO NOT DEPLOY TO FIELD  -In House - Returned from Vendor 05.15.20 ,2498,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2499,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2500,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2501,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2502,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2503,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2504,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2505,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,,2506,Speedcast GSI Gov,,
