STD,7/23/2020,Ed Lapasota,,Speedcast/GSI Gov ,163,,
STD,7/23/2020,Ed Lapasota,OBSOLETE USED WITH OLD PARADISE CONTROLLERS,Speedcast/GSI Gov ,164,,
STD,7/23/2020,Ed Lapasota,OBSOLETE USED WITH OLD PARADISE CONTROLLERS,Speedcast/GSI Gov ,165,,
STD,7/23/2020,Ed Lapasota,Unit in house STORED AT GNSC,Speedcast/GSI Gov ,166,,
STD,7/23/2020,Ed Lapasota,,Speedcast/GSI Gov ,167,,
STD,7/23/2020,Ed Lapasota,(To be Located)Pre-testing in FAA-TB Rack EQ #3 - VERIFY S/N,Speedcast/GSI Gov ,168,,
STD,7/23/2020,Ed Lapasota,To be Located,Speedcast/GSI Gov ,169,,
STD,7/23/2020,Ed Lapasota,To be Located,Speedcast/GSI Gov ,170,,
STD,7/23/2020,Ed Lapasota,To be Located,Speedcast/GSI Gov ,171,,
MISSING,7/23/2020,Ed Lapasota,Unit in house ****LOCATE UNIT****,Speedcast/GSI Gov ,172,,
MR,3/27/2020,Ed Lapasota,Shipped to GGW 03.27.20,GGW,173,,
MISSING,7/23/2020,Ed Lapasota,To be Located,Speedcast/GSI Gov ,174,,
MR,4/17/2020,Ed Lapasota,Shipped to RSW 04.17.20 ,Speedcast/GSI Gov ,174,,
STD,5/15/2020,Ed Lapasota,Unit in house 05.15.20 ,Speedcast/GSI Gov ,174,,
STD,6/4/2020,Ed Lapasota,NQX Test Rack 06.04.20 ,Speedcast/GSI Gov ,175,,
REPAIR,6/8/2020,Ed Lapasota, Failed during test RMA 06.08.20 ship date TBD ,Speedcast/GSI Gov ,176,,
MR,3/11/2020,Ed Lapasota,Ship to QUZ 03.11.20,QUZ,176,,
MR,2/28/2020,Ed Lapasota,Ship to QYB 02.28.20 | In House 05.15.20 | Shipped to QOM 06.04.20 |,QYB,176,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20,Speedcast/GSI Gov ,177,,
STD,9/4/2020,Ed Lapasota,Shipped to QOM 06.04.20 ,QOM,178,,
MR,7/23/2020,Ed Lapasota,Shipping to QXU - TBD |,QXU,178,,
MR,1/17/2020,Ed Lapasota,Shipped to QJA 01.17.20 ,QJA,178,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20,Speedcast/GSI Gov ,178,,
STD,5/29/2020,Ed Lapasota,"TESTING, shipped to QJA 05.29.20 ",Speedcast/GSI Gov ,179,,
STD,6/15/2020,Ed Lapasota, 06.15.20 returned from QJA Broken card rails ,Speedcast/GSI Gov ,179,,
MR,5/21/2020,Ed Lapasota,Ship to QJA 5/21/20,QJA,180,,
MR,6/15/2020,Ed Lapasota,06.15.20 Returned from Bill 0'Hare,Speedcast/GSI Gov ,181,,
MR,1/23/2020,Ed Lapasota,Returned from GDC RTV-6682 1/23/20,Speedcast/GSI Gov ,181,,
MR,1/23/2020,Ed Lapasota,"Returned from GDC RTV-6682 1/23/20 |shipped to Vendor - Bad Aggr connection on Backplane 05.15.20 | Returned from Vendor with no change.  Unit Still Loose on Aggr Connector, shipping Back AGAIN 06.2.20 |",Speedcast/GSI Gov ,181,,
STD,5/15/2020,Ed Lapasota,shipped to Vendor - Bad Aggr connection on Backplane 05.15.20,Speedcast/GSI Gov ,182,,
STD,6/2/2020,Ed Lapasota,"Returned from Vendor with no change.  Unit Still Loose on Aggr Connector, shipping Back AGAIN 06.2.20 ",Speedcast/GSI Gov ,183,,
STD,4/17/2020,Ed Lapasota,Shipped to QOM 04.17.20 | Received from QOM - By Chris/Fausto 06.01.20 ***MUST TEST*** |,Speedcast/GSI Gov ,183,,
STD,5/15/2020,Ed Lapasota,in  House 05.15.20,Speedcast/GSI Gov ,184,,
STD,5/29/2020,Ed Lapasota,SCG CPV Test Rack 05.29.20 ,Speedcast/GSI Gov ,184,,
STD,5/15/2020,Ed Lapasota,in  House 05.15.20 ,Speedcast/GSI Gov ,185,,
STD,5/29/2020,Ed Lapasota,SCG NQX Test Rack 05.29.20,Speedcast/GSI Gov ,185,,
REPAIR,7/23/2020,Ed Lapasota,"FAILED POWER SUPPLY, PWR SUPPLY HUMMING SOUND ",Speedcast/GSI Gov ,185,,
REPAIR,6/4/2020,Ed Lapasota,"Returned from Vendor, works with Loopback, further testing to follow 06.01.20 ",Speedcast/GSI Gov ,186,,
STD,7/23/2020,Ed Lapasota,Installed in NQX Rack,Speedcast/GSI Gov ,186,,
REPAIR,5/25/2020,Ed Lapasota,BAD PWR SUPPLY - Will not power on.  Bad FAN - Not working 05.25.20,Speedcast/GSI Gov ,186,,
STD,6/1/2020,Ed Lapasota,"Returned from Vendor, works with Loopback, further testing to follow 06.01.20 ",Speedcast/GSI Gov ,187,,
STD,7/23/2020,Ed Lapasota,Installed in CPV Rack,,188,,
MR,6/15/2020,Ed Lapasota,Returned from John Kayanek 06.15.20 ,Speedcast/GSI Gov ,189,,
MR,7/23/2020,Ed Lapasota,Unit In house,Speedcast/GSI Gov ,190,,
MR,5/15/2020,Ed Lapasota,Verified In House 05.15.20,Speedcast/GSI Gov ,190,,
MR,7/23/2020,Ed Lapasota,Returned from BHF ,Speedcast/GSI Gov ,191,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20,Speedcast/GSI Gov ,192,,
MR,5/15/2020,Ed Lapasota,Verified In House 05.15.20,Speedcast/GSI Gov ,192,,
MR,7/23/2020,Ed Lapasota,Returned from QXR ,Speedcast/GSI Gov ,193,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20 In NQX test rk ,Speedcast/GSI Gov ,194,,
MR,7/23/2020,Ed Lapasota,Returned from QXR | MUST LOCATE,Speedcast/GSI Gov ,195,,
STD,5/15/2020,Ed Lapasota,Verified In House 05.15.20 NQX RK |,Speedcast/GSI Gov ,196,,
STD,5/15/2020,Ed Lapasota,Verified In House 05.15.20,Speedcast/GSI Gov ,197,,
MR,1/23/2020,Ed Lapasota,Returned from GDC RTV-6682 1/23/20 | MUST LOCATE,Speedcast/GSI Gov ,198,,
STD,7/23/2020,Ed Lapasota,,Speedcast/GSI Gov ,199,,
STD,6/5/2020,Ed Lapasota,Unit in house Verified 06.05.20,Speedcast/GSI Gov ,200,,
STD,6/5/2020,Ed Lapasota,Unit in house Verified 06.05.20,Speedcast/GSI Gov ,201,,
STD,6/5/2020,Ed Lapasota,Unit in house Verified 06.05.20,Speedcast/GSI Gov ,202,,
STD,6/5/2020,Ed Lapasota,Unit in house Verified 06.05.20,Speedcast/GSI Gov ,203,,
STD,6/5/2020,Ed Lapasota,Unit in house Verified 06.05.20,Speedcast/GSI Gov ,204,,
STD,7/23/2020,Ed Lapasota,Fully populated FXS/XFO Shelf with (1) ringer module and spare 6131A Modules,Speedcast/GSI Gov ,205,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,206,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,207,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,208,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,209,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,210,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,211,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,212,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,213,,
STD,7/23/2020,Ed Lapasota,,Speedcast/GSI Gov ,214,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,215,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,216,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,217,,
STD,7/23/2020,Ed Lapasota,,Speedcast/GSI Gov ,218,,
STD,7/23/2020,Ed Lapasota,STORED ON SITE,Speedcast/GSI Gov ,219,,
STD,7/23/2020,Ed Lapasota,On Site,EMI Gateway,220,,
STD,7/23/2020,Ed Lapasota,On Site,EMI Gateway,221,,
STD,7/23/2020,Ed Lapasota,On Site,EMI Gateway,222,,
STD,7/23/2020,Ed Lapasota,On Site,EMI Gateway,223,,
STD,7/23/2020,Ed Lapasota,On Site,EMI Gateway,224,,
STD,7/23/2020,Ed Lapasota,On Site,EMI Gateway,225,,
STD,7/23/2020,Ed Lapasota,STORED ON SITE,Speedcast/GSI Gov ,226,,
STD,7/23/2020,Ed Lapasota,On Site,CMA Gateway,227,,
STD,7/23/2020,Ed Lapasota,On Site-Qty 2 cards have no piggy back cards,CMA Gateway,228,,
STD,7/23/2020,Ed Lapasota,On Site,CMA Gateway,229,,
STD,7/23/2020,Ed Lapasota,On Site,CMA Gateway,230,,
STD,7/23/2020,Ed Lapasota,On Site,CMA Gateway,231,,
STD,7/23/2020,Ed Lapasota,On Site,CMA Gateway,232,,
STD,7/23/2020,Ed Lapasota,On Site,CMA Gateway,233,,
STD,7/23/2020,Ed Lapasota,On Site,CMA Gateway,234,,
STD,7/23/2020,Ed Lapasota,in  House,Speedcast/GSI Gov ,235,,
STD,7/23/2020,Ed Lapasota,in  House,Speedcast/GSI Gov ,236,,
STD,7/23/2020,Ed Lapasota,in  House,Speedcast/GSI Gov ,237,,
STD,7/23/2020,Ed Lapasota,in  House,Speedcast/GSI Gov ,238,,
STD,7/23/2020,Ed Lapasota,in  House,Speedcast/GSI Gov ,239,,
STD,7/23/2020,Ed Lapasota,in  House,Speedcast/GSI Gov ,240,,
STD,7/23/2020,Ed Lapasota,"2 Flyaway is GSI NY, 1 Flyaway is TSS Melbourne FL",,241,,
STD,7/23/2020,Ed Lapasota,"(1) deployed to BHF (,1) deployed to MYAF","MYAF, BHF",242,,
STD,7/23/2020,Ed Lapasota,Equipment Located at GSM Maryland,GSM,242,,
STD,7/23/2020,Ed Lapasota,"Equipment Located at TSS Melbourne, FL",TSS,242,,
MR,2/14/2020,Ed Lapasota,Sent 1 to ZSU 02.14.20,,242,,
MR,2/14/2020,Ed Lapasota,Sent to ZSU 02.14.20,,242,,
STD,11/14/2019,Ed Lapasota,new black ones - Sent to vendor 11/14/19 - RMA P-210,,242,,
STD,7/23/2020,Ed Lapasota,Old whte ones,,242,,
